id,standard,sections,pdf_pages,requirement,applicability,status,code,tests,evidence_level,finding,impact,closure
C1-001,CTVS-1,1.2; 2.2,6; 7,One underlying asset and one transferable native share asset define the economic boundary.,profile0,aligned,reference/packages/protocol/src/types.ts:24; reference/packages/onchain/lib/ctvs/ledger.ak:97; reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:69,reference/implementations/ctvs1/client/test/direct.test.ts:68 deposit closed value equation and share payment,retained_test,Terms selects one Asset; State value and receiver asset are derived from that selection and the policy SHARE name.,No multi-asset basket is silently represented as a single-asset deposit.,Retain token/native ADA coverage; native share transfer evidence is tracked separately.
C1-002,CTVS-1,1.3; 2.3; 2.4,7; 8,Disclose the exact profile combination and distinguish independent entry/exit execution capabilities.,profile0,narrowed,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:12; reference/implementations/ctvs2/onchain/lib/ctvs2/state.ak:9; reference/tools/lib/build.ts:68,reference/implementations/ctvs1/onchain/validators/state_test.ak:682 ctvs1_genesis_rejects_every_asynchronous_mode; reference/packages/planning/test/context.test.ts:12 family binding rejects cross-family deployments and incompatible advertised modes,retained_test,"CTVS-1 accepts modes 1,2,3; CTVS-2 accepts 4,8,12. The published masks 1..15 also describe hybrid combinations that neither build supports.","The supplied implementations cover subsets of the paper, not a mixed direct/async vault with one shared State.",Publish capability subsets and either implement separately validated hybrid builds or explicitly limit the conformance claim.
C1-003,CTVS-1,2.3; 2.5,8; 9,"A fully direct deployment provides deposit, exact-share mint, exact-asset withdraw, and redeem.",profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:133; reference/implementations/ctvs1/client/src/direct.ts:33,reference/implementations/ctvs1/client/test/direct.test.ts:33 all four operations preserve their exact signed bound; reference/testing/integration/ctvs1/lifecycle.test.ts:30 executes %s through its public planner,retained_test,All four operations have explicit onchain branches and a typed client path. Mode 3 supports both directions.,There is no missing direct action branch in the fully direct family.,Retain per-operation signed tests; views and integration response gaps are separate requirements.
C1-004,CTVS-1,1.2; 5.3,6; 17,Ordinary native-share transfers must not require vault action or change economic supply.,profile0,aligned,reference/implementations/ctvs1/onchain/validators/vault.ak:52; reference/packages/onchain/lib/ctvs/state_core.ak:72,,source,Share authorization is a minting policy; ordinary transfer is not a mint/burn and has no transfer restriction defined here. Supply changes are coupled to State only on issuance or extinction.,The asset model permits transferable native shares; the repository has no dedicated transfer-without-State trace.,Add a ledger-level key-to-key share transfer trace and assert unchanged State/supply before claiming this as executed integration evidence.
C1-005,CTVS-1,1.2; 2.5; 2.6,6; 8; 9; 10,Native mappings and economic extensions require their own declared rules and evidence.,extension,out_of_scope,reference/packages/onchain/lib/ctvs/validation.ak:186; reference/README.md:1,,source,"This review covers the direct-custody reference profile. Managed NAV, inventory issuance, mutable terms and arbitrary native mappings are not claimed by these code paths.",Their absence is not a profile-0 contract bug.,Review each extension against an explicit implementation and mapping if it is later claimed.
C1-006,CTVS-1,3.2; 3.4,11; 12,"Successful transactions require ledger value conservation, input existence, no double spending and valid authorization witnesses.",acceptance,unverified,reference/testing/ledger/recorder.ts:1; reference/testing/ledger/evaluator.ts:1,reference/testing/integration/ctvs1/lifecycle.test.ts:30 executes %s through its public planner,external_gate,Local signed transaction tests and explicit Plutus execution exist; complete cardano-node phase-1 acceptance remains an external gate. Source predicates cannot establish all ledger rules.,Local passing contexts are not proof of complete ledger acceptance.,Run the direct lifecycle and balanced negatives against a pinned node/network parameter snapshot.
C1-007,CTVS-1,3.3; 5.4,11; 18,A direct action must consume its specific current State reference and produce one successor.,profile0,aligned,reference/packages/onchain/lib/ctvs/state_core.ak:22; reference/packages/onchain/lib/ctvs/state_core.ak:185; reference/implementations/ctvs1/client/src/direct.ts:41,"reference/implementations/ctvs1/onchain/validators/state_test.ak:349 rejects_wrong_sequence; reference/packages/planning/test/context.test.ts:67 resolved State checks own address, datum mode, reference script, identities and actual funding",retained_test,Own input is resolved by purpose and matched to unique authenticated State; client plan names that input. A stale competing spend is a ledger contention issue.,No timestamp or free-standing sequence number substitutes for the consumed State input.,Add competing signed transaction/rebuild evidence for provider behavior; preserve immutable user bounds.
C1-008,CTVS-1,3.3; 5.4; 6,11; 18,A quote must identify the consumed State reference as its pricing basis.,profile0,partial,reference/packages/protocol/src/math/quotes.ts:94; reference/packages/protocol/src/types.ts:98; reference/implementations/ctvs1/client/src/direct.ts:41,,source,"Pure preview returns exact_at_snapshot but carries no OutRef or chain point. Direct plans do name State input, so the bound is eventually attached to a concrete transaction.",A standalone preview is not the paper's evidence-bound quote response and must not be presented as such.,Wrap arithmetic results in a verified snapshot quote envelope carrying State OutRef and implementation/terms evidence.
C1-009,CTVS-1,3.4; 8.2,12; 23,"Reject withdrawals including zero hooks, certificates, votes, proposals, treasury declarations and donations.",profile0,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:38,reference/implementations/ctvs1/onchain/validators/state_test.ak:467 rejects_zero_withdrawal_hook; reference/implementations/ctvs1/onchain/validators/state_test.ak:479 rejects_treasury_fields,retained_test,"The complete exposed Aiken fields are checked, including Some(0) treasury and any withdrawal entry. Retained negative tests sample withdrawal and treasury rather than every forbidden field.",These sources/sinks cannot be used within the reference transaction domain by the authored predicates.,"Add per-field balanced negative fixtures for certificates, votes, proposals and donations; source alignment is not exhaustive executed coverage."
C1-010,CTVS-1,3.4; 7.4,12; 21,Unsupported script purposes and unrelated mint must fail.,profile0,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:47; reference/packages/onchain/lib/ctvs/state_core.ak:78,reference/implementations/ctvs1/onchain/validators/state_test.ak:411 rejects_unrelated_mint; reference/implementations/ctvs1/onchain/validators/state_test.ak:420 rejects_wrong_mint_quantity,retained_test,Purpose whitelist permits spending/minting; exact mint vector then restricts the permitted SHARE delta and zero-delta case.,Extra balance-changing scripts cannot be silently admitted by the direct validator.,Retain mint negatives and add a complete purpose enumeration at the actual ledger boundary.
C1-011,CTVS-1,3.4; 7.2,12; 20; 21,A privileged role requires explicit required-signatory membership plus a valid ledger witness; funding identity is not the role.,profile0,aligned,reference/packages/onchain/lib/ctvs/state_core.ak:157; reference/packages/planning/src/maintenance.ts:93,reference/implementations/ctvs1/onchain/validators/state_test.ak:548 rejects_unauthorized_pause; reference/testing/integration/ctvs1/lifecycle.test.ts:82 rejects %s in the compiled validator [pause-authority],retained_test,"Pause uses extra_signatories and the client explicitly declares the configured key. Cryptographic witness validity is checked by the ledger/test harness, not inferred from receiver or funding input.",Role membership and funding authorization remain separate.,Node-backed witness-negative evidence is still required for full ledger acceptance.
